Image,Camera Matrix,Distortion Coefficients
IMG_4039.jpg,"[26.901332559283176, 0.0, 399.5, 0.0, 35.846025635244835, 532.5, 0.0, 0.0, 1.0]","[-0.002173027019195105, 1.4200034843947475e-06, 0.00018013517286093913, -0.00046762675295099383, -2.5179742743872025e-10]"
IMG_4037.jpg,"[430.2785155619017, 0.0, 399.5, 0.0, 573.346121986234, 532.5, 0.0, 0.0, 1.0]","[-0.015294811032368209, 5.6143172318640234e-05, -0.0073590687777316055, 0.006020550789133734, -4.975689353403965e-08]"
IMG_4044.jpg,"[187.94700341956553, 0.0, 399.5, 0.0, 250.4393820565711, 532.5, 0.0, 0.0, 1.0]","[-0.01638508798927741, 6.691995541684364e-05, -0.0050574701253354604, 0.011403879599981397, -5.8313034115672975e-08]"
IMG_4040.jpg,"[134.79430393091832, 0.0, 399.5, 0.0, 179.61340998794867, 532.5, 0.0, 0.0, 1.0]","[-0.06885005579970095, 0.000822397089416106, -0.002705741907600017, -0.000337979256260362, -2.532418812836466e-06]"
IMG_4041.jpg,"[68.77853214857167, 0.0, 399.5, 0.0, 91.64739408797176, 532.5, 0.0, 0.0, 1.0]","[-1.1853414641731159e-17, -5.0870484124593515e-12, -1.0063084126424107e-19, -5.394182877132405e-20, 4.166787227847442e-18]"
